id,screen_name,text_raw,like_counts,total_number,created_at
5.10023E+15,程笑笑呢,最喜欢听柒姐每次回家都说，婆婆我回来了哦  [鲜花],544,6,Wed Nov 13 12:34:28 +0800 2024
5.10023E+15,sixty-four,请问你是仙女吗🧚‍♀️，山间小精灵[舔屏] http://t.cn/A6nEiDjb,540,4,Wed Nov 13 12:31:50 +0800 2024
5.10023E+15,枕屏儿,你不在的日子，我的生活重新开启新篇章，重新搞事业，考职称各种考试，现在在公立医院工作，为社会尽自己的一份力，现在还克服了心里恐惧考驾照，你变得更好了，我也变得更勇敢啦[打call]也希望这盛世越来越好，如我们所愿[心][心] http://t.cn/A6nEXv71,514,30,Wed Nov 13 12:44:20 +0800 2024
5.10023E+15,章雯_,又幸福了！！！ http://t.cn/A6nE64y0,468,2,Wed Nov 13 12:34:50 +0800 2024
5.10023E+15,二叔柒柒柒,以一首歌曲结尾，唱出了不一样的味道哦[鲜花][鲜花][鲜花][鲜花][鲜花][鲜花][鲜花],418,6,Wed Nov 13 12:34:52 +0800 2024
5.10023E+15,Jinny_sun,唱歌好好听 我的姐是“歌王”[doge]骄傲[心][doge],352,14,Wed Nov 13 12:36:13 +0800 2024
5.10023E+15,Freedom像风一样地,哇哇哇 仙女 你这也太高产了[笑而不语],314,4,Wed Nov 13 12:32:02 +0800 2024
5.10023E+15,柒爷家的辣椒,我不是要证明什么，我是要把我失去的都拿回来！！！太帅啦！！！,303,2,Wed Nov 13 12:34:59 +0800 2024
5.10023E+15,便宜师傅总是找不到,哇，柒姐好赞，多更，爱看,195,2,Wed Nov 13 12:34:17 +0800 2024
5.10023E+15,苍南派,那些空镜头拍得也都好美啊,183,15,Wed Nov 13 12:40:46 +0800 2024
5.10023E+15,柒号芋头,啊啊啊啊我们一个月前的合唱比赛唱的也是如愿[泪],180,1,Wed Nov 13 12:36:15 +0800 2024
5.10023E+15,Jinny_sun,封面爱了[心][心] http://t.cn/A6nE6XDT,156,8,Wed Nov 13 12:37:58 +0800 2024
5.10023E+15,追梦ing少年ing,阿姐你太美啦，好想亲一口 http://t.cn/A6nE6PRD,155,4,Wed Nov 13 12:32:47 +0800 2024
5.10023E+15,柒潇潇呀,看到这一幕，瞬间想起之前小红薯上刷到的这张在成都蜀锦研究所的合照，当时看到好激动，这几年来你一直在非遗传承的路上，哪怕是断更的日子里也在做你喜欢的事，真好啊，为你感到骄傲，李子柒小朋友，你真的很棒！ http://t.cn/A6nE6udF,134,1,Wed Nov 13 12:42:22 +0800 2024
5.10023E+15,浅碎时光_Q,姐姐，高产呀，这是不是准备之前就发的，这些都是库存吧！三年时间你也不好好休息休息[抱抱],131,1,Wed Nov 13 12:34:34 +0800 2024
5.10023E+15,Jinny_sun,姐 我又幸福了[泪][泪],123,2,Wed Nov 13 12:35:03 +0800 2024
5.10023E+15,禾荫,收到阿姐的祝福啦～[哇][哇][哇],110,1,Wed Nov 13 12:34:02 +0800 2024
5.10023E+15,懒出草,你的回归真的能让我开心很久[嘻嘻],101,5,Wed Nov 13 12:39:17 +0800 2024
5.10023E+15,春凋在路上,看到封面，一眼认出来这是关闭多年的白马王朗自然保护区（今年又开了，一个极其小众的旅行目的地），和九寨沟就差一座山。许多年前我们从七藏沟背着帐篷差点徒步过去。还记得那里的星空超级无敌美！也算是和柒柒去过同一个地方了！ http://t.cn/A6nEXajo,89,2,Wed Nov 13 12:49:15 +0800 2024
5.10023E+15,阿图-,子柒唱歌居然也这么好听，还有什么是你不会的。,85,4,Wed Nov 13 12:51:24 +0800 2024
5.10023E+15,禾荫,幸好办公室没人  看哭听哭惹 一直朝自己目标前进的阿姐呀 我们一直都在哦～[心],79,5,Wed Nov 13 12:49:30 +0800 2024
5.10023E+15,Jinny_sun,又发啊啊啊啊姐[送花花][送花花],76,0,Wed Nov 13 12:33:24 +0800 2024
5.10023E+15,柒潇潇呀,坐在这里，音乐响起的时候，我眼泪一下就掉下来了[泪] http://t.cn/A6nEXXqp,67,0,Wed Nov 13 12:48:59 +0800 2024
5.10023E+15,Hey_钰尔,我截图都截图不过来了[泪][泪]你泪目还在开车赶紧停车听到声音,66,0,Wed Nov 13 12:34:18 +0800 2024
5.10023E+15,Jinny_sun,姐 之前那个微博的盐还有吗[doge],58,3,Wed Nov 13 12:33:34 +0800 2024
5.10023E+15,程笑笑呢,天呐  柒姐 这个年太开心了[心],56,2,Wed Nov 13 12:32:04 +0800 2024
5.10023E+15,sixty-four,没见过的画面，新视频预定[舔屏][舔屏][舔屏] http://t.cn/A6nEa0gE,54,3,Wed Nov 13 12:59:06 +0800 2024
5.10023E+15,五十公斤的大贤,子柒宝宝，你不在那些天，我也在默默努力！1718天，感觉像过了一个世纪。现在你终于回来了，填补了我这1718天的空白。说真的，我超级想你，你的每一帧画面都是我思念的源泉。欢迎回来，我的柒姐。,50,8,Wed Nov 13 12:35:46 +0800 2024
5.10023E+15,便宜师傅总是找不到,亲爱的柒姐，你发的祝福已收到[心]也祝柒姐四时顺意，喜乐平安#李子柒绒花# #朝花柒拾# #焕新非遗计划# #李子柒[超话]#,37,0,Wed Nov 13 12:36:32 +0800 2024
5.10023E+15,sixty-four,好吧没有什么是姐姐不会的，姐姐唱歌好好听，配合着剪辑的画面，边张嘴愣着边被震撼到，等了三年了，你终于回来了[心][心][心] http://t.cn/A6nEXiFY,35,0,Wed Nov 13 12:48:45 +0800 2024
5.10023E+15,追梦ing少年ing,阿姐我结婚啦,33,4,Wed Nov 13 12:34:08 +0800 2024
5.10023E+15,浅碎时光_Q,贴贴贴贴，美腻的姐姐！！！ http://t.cn/A6nE6VgX,33,3,Wed Nov 13 12:36:23 +0800 2024
5.10023E+15,浅碎时光_Q,看到这段，为什么好想哭[泪] http://t.cn/A6nEXRCp,32,1,Wed Nov 13 12:52:16 +0800 2024
